Iteration = 258000 | Total steps: 15-48-92 | Min: 0.83 | Avg: 7.11 | Max: 24.31
Iteration = 259000 | Total steps: 22-46-90 | Min: 1.19 | Avg: 5.90 | Max: 29.68
Iteration = 260000 | Total steps: 19-43-87 | Min: 0.37 | Avg: 9.17 | Max: 43.98
Iteration = 261000 | Total steps: 16-25-48 | Min: 0.10 | Avg: 4.02 | Max: 17.76
Iteration = 262000 | Total steps: 16-45-81 | Min: 0.10 | Avg: 13.20 | Max: 47.40
Iteration = 263000 | Total steps: 18-36-72 | Min: 0.71 | Avg: 7.18 | Max: 34.64
Iteration = 264000 | Total steps: 23-28-43 | Min: 0.38 | Avg: 1.66 | Max: 3.17
Iteration = 265000 | Total steps: 16-27-36 | Min: 0.10 | Avg: 2.57 | Max: 15.14
Iteration = 266000 | Total steps: 16-37-69 | Min: 0.10 | Avg: 4.22 | Max: 19.51
Iteration = 267000 | Total steps: 30-35-44 | Min: 1.13 | Avg: 5.83 | Max: 23.76
Iteration = 268000 | Total steps: 22-55-83 | Min: 1.51 | Avg: 9.29 | Max: 29.07
Iteration = 269000 | Total steps: 16-26-44 | Min: 0.10 | Avg: 4.54 | Max: 17.70
Iteration = 270000 | Total steps: 16-45-68 | Min: 0.10 | Avg: 10.56 | Max: 35.61
Iteration = 271000 | Total steps: 16-43-85 | Min: 0.10 | Avg: 11.53 | Max: 31.34
Iteration = 272000 | Total steps: 26-46-68 | Min: 1.80 | Avg: 11.65 | Max: 20.40
Iteration = 273000 | Total steps: 24-42-62 | Min: 0.22 | Avg: 14.94 | Max: 38.16
Iteration = 274000 | Total steps: 16-34-64 | Min: 0.10 | Avg: 6.68 | Max: 39.41
Iteration = 275000 | Total steps: 20-27-37 | Min: 0.63 | Avg: 2.03 | Max: 9.84
Iteration = 276000 | Total steps: 16-34-72 | Min: 0.10 | Avg: 7.51 | Max: 33.20
