Iteration = 162000 | Total steps: 16-32-64 | Min: 0.10 | Avg: 1.97 | Max: 7.99
Iteration = 163000 | Total steps: 16-42-70 | Min: 0.10 | Avg: 3.31 | Max: 6.57
Iteration = 164000 | Total steps: 16-37-70 | Min: 0.10 | Avg: 4.16 | Max: 18.09
Iteration = 165000 | Total steps: 16-58-92 | Min: 0.10 | Avg: 5.88 | Max: 14.41
Iteration = 166000 | Total steps: 25-53-76 | Min: 1.69 | Avg: 4.51 | Max: 6.81
Iteration = 167000 | Total steps: 37-60-84 | Min: 3.39 | Avg: 9.06 | Max: 22.65
Iteration = 168000 | Total steps: 29-48-64 | Min: 1.26 | Avg: 5.12 | Max: 11.02
Iteration = 169000 | Total steps: 21-43-93 | Min: 0.88 | Avg: 6.44 | Max: 23.40
Iteration = 170000 | Total steps: 27-51-81 | Min: 1.31 | Avg: 4.50 | Max: 9.39
Iteration = 171000 | Total steps: 29-49-90 | Min: 1.84 | Avg: 5.21 | Max: 24.23
Iteration = 172000 | Total steps: 31-51-71 | Min: 1.29 | Avg: 8.56 | Max: 20.43
Iteration = 173000 | Total steps: 25-61-82 | Min: 0.75 | Avg: 10.02 | Max: 23.64
Iteration = 174000 | Total steps: 16-47-68 | Min: 0.10 | Avg: 6.33 | Max: 19.84
Iteration = 175000 | Total steps: 18-49-89 | Min: 0.61 | Avg: 4.33 | Max: 10.36
Iteration = 176000 | Total steps: 21-42-57 | Min: 0.39 | Avg: 4.82 | Max: 16.94
Iteration = 177000 | Total steps: 16-48-100 | Min: 0.10 | Avg: 8.63 | Max: 28.86
Iteration = 178000 | Total steps: 30-55-84 | Min: 2.58 | Avg: 9.65 | Max: 33.89
Iteration = 179000 | Total steps: 16-36-74 | Min: 0.10 | Avg: 4.18 | Max: 23.04
Iteration = 180000 | Total steps: 26-42-52 | Min: 1.92 | Avg: 4.37 | Max: 6.75
Iteration = 181000 | Total steps: 19-52-78 | Min: 0.50 | Avg: 7.42 | Max: 34.10
Iteration = 182000 | Total steps: 23-53-78 | Min: 0.30 | Avg: 5.93 | Max: 21.27
Iteration = 183000 | Total steps: 29-55-78 | Min: 0.93 | Avg: 4.86 | Max: 10.06
Iteration = 184000 | Total steps: 24-55-96 | Min: 1.29 | Avg: 11.57 | Max: 37.23
Iteration = 185000 | Total steps: 21-47-70 | Min: 1.95 | Avg: 4.44 | Max: 8.64
Iteration = 186000 | Total steps: 33-68-95 | Min: 1.71 | Avg: 8.91 | Max: 21.31
Iteration = 187000 | Total steps: 28-55-82 | Min: 1.88 | Avg: 7.18 | Max: 18.80
Iteration = 188000 | Total steps: 32-55-80 | Min: 2.06 | Avg: 5.62 | Max: 9.33
Iteration = 189000 | Total steps: 21-38-65 | Min: 0.67 | Avg: 2.77 | Max: 6.16
Iteration = 190000 | Total steps: 16-32-58 | Min: 0.10 | Avg: 2.58 | Max: 7.58
Iteration = 191000 | Total steps: 16-54-95 | Min: 0.10 | Avg: 7.04 | Max: 25.89
Iteration = 192000 | Total steps: 23-47-72 | Min: 1.34 | Avg: 4.84 | Max: 10.00
Iteration = 193000 | Total steps: 33-68-87 | Min: 2.21 | Avg: 9.77 | Max: 23.06
Iteration = 194000 | Total steps: 25-47-63 | Min: 0.46 | Avg: 4.82 | Max: 7.82
Iteration = 195000 | Total steps: 16-46-99 | Min: 0.10 | Avg: 7.22 | Max: 22.57
Iteration = 196000 | Total steps: 40-59-79 | Min: 4.66 | Avg: 12.21 | Max: 38.84 [CHECK POINT]
Iteration = 197000 | Total steps: 16-48-97 | Min: 0.10 | Avg: 3.82 | Max: 8.62
Iteration = 198000 | Total steps: 22-49-73 | Min: 0.65 | Avg: 7.70 | Max: 34.19
Iteration = 199000 | Total steps: 21-57-97 | Min: 0.64 | Avg: 4.90 | Max: 8.68
Iteration = 200000 | Total steps: 19-52-92 | Min: 0.50 | Avg: 7.96 | Max: 21.08
Iteration = 201000 | Total steps: 26-42-57 | Min: 2.04 | Avg: 6.94 | Max: 16.97
Iteration = 202000 | Total steps: 34-57-83 | Min: 2.83 | Avg: 10.02 | Max: 22.58
Iteration = 203000 | Total steps: 16-34-79 | Min: 0.10 | Avg: 3.63 | Max: 14.59
Iteration = 204000 | Total steps: 25-50-78 | Min: 1.17 | Avg: 6.01 | Max: 20.56
Iteration = 205000 | Total steps: 21-46-70 | Min: 0.24 | Avg: 5.20 | Max: 14.16
Iteration = 206000 | Total steps: 23-45-69 | Min: 1.23 | Avg: 5.11 | Max: 18.29
Iteration = 207000 | Total steps: 18-52-90 | Min: 0.19 | Avg: 10.30 | Max: 38.46
Iteration = 208000 | Total steps: 19-49-85 | Min: 0.37 | Avg: 6.52 | Max: 18.54
Iteration = 209000 | Total steps: 49-64-89 | Min: 4.19 | Avg: 7.84 | Max: 23.36
Iteration = 210000 | Total steps: 16-50-71 | Min: 0.10 | Avg: 6.02 | Max: 22.22
Iteration = 211000 | Total steps: 22-54-94 | Min: 0.18 | Avg: 9.84 | Max: 22.07
Iteration = 212000 | Total steps: 19-49-78 | Min: 0.87 | Avg: 5.03 | Max: 9.15
Iteration = 213000 | Total steps: 30-48-72 | Min: 0.84 | Avg: 5.58 | Max: 19.78
Iteration = 214000 | Total steps: 16-46-78 | Min: 0.10 | Avg: 4.44 | Max: 8.46
Iteration = 215000 | Total steps: 16-30-71 | Min: 0.10 | Avg: 2.73 | Max: 17.41
Iteration = 216000 | Total steps: 16-35-75 | Min: 0.10 | Avg: 5.14 | Max: 20.05
Iteration = 217000 | Total steps: 16-25-53 | Min: 0.10 | Avg: 1.92 | Max: 7.16
Iteration = 218000 | Total steps: 18-43-82 | Min: 0.20 | Avg: 4.90 | Max: 22.29
Iteration = 219000 | Total steps: 17-22-33 | Min: 0.16 | Avg: 0.97 | Max: 3.39
Iteration = 220000 | Total steps: 40-69-90 | Min: 4.58 | Avg: 9.10 | Max: 22.63
Iteration = 221000 | Total steps: 22-45-63 | Min: 0.48 | Avg: 4.82 | Max: 12.62
Iteration = 222000 | Total steps: 16-37-57 | Min: 0.10 | Avg: 2.46 | Max: 6.01
Iteration = 223000 | Total steps: 16-36-62 | Min: 0.10 | Avg: 3.45 | Max: 14.50
