Iteration = 247000 | Total steps: 17-21-26 | Min: 0.15 | Avg: 0.53 | Max: 1.10
Iteration = 248000 | Total steps: 16-19-30 | Min: 0.10 | Avg: 0.51 | Max: 1.96
Iteration = 249000 | Total steps: 16-16-20 | Min: 0.10 | Avg: 1.50 | Max: 13.85
Iteration = 250000 | Total steps: 16-20-25 | Min: 0.10 | Avg: 0.35 | Max: 0.81
Iteration = 251000 | Total steps: 19-23-29 | Min: 0.21 | Avg: 0.59 | Max: 1.34
Iteration = 252000 | Total steps: 16-17-26 | Min: 0.10 | Avg: 0.38 | Max: 1.72
Iteration = 253000 | Total steps: 8-21-48 | Min: 0.18 | Avg: 7.81 | Max: 70.61
Iteration = 254000 | Total steps: 17-21-34 | Min: 0.15 | Avg: 3.30 | Max: 28.22
Iteration = 255000 | Total steps: 16-23-35 | Min: 0.10 | Avg: 0.77 | Max: 2.48
Iteration = 256000 | Total steps: 16-23-32 | Min: 0.10 | Avg: 4.11 | Max: 36.10
Iteration = 257000 | Total steps: 3-16-21 | Min: 0.10 | Avg: 0.54 | Max: 1.15
Iteration = 258000 | Total steps: 16-19-23 | Min: 0.10 | Avg: 0.67 | Max: 1.39
Iteration = 259000 | Total steps: 17-22-36 | Min: 0.18 | Avg: 2.36 | Max: 15.93
Iteration = 260000 | Total steps: 17-22-28 | Min: 0.16 | Avg: 0.71 | Max: 3.05
Iteration = 261000 | Total steps: 15-22-26 | Min: 0.21 | Avg: 0.62 | Max: 1.10
Iteration = 262000 | Total steps: 19-25-34 | Min: 0.36 | Avg: 0.96 | Max: 2.85
Iteration = 263000 | Total steps: 18-21-35 | Min: 0.16 | Avg: 0.68 | Max: 2.34
Iteration = 264000 | Total steps: 16-25-41 | Min: 0.10 | Avg: 4.84 | Max: 42.83
Iteration = 265000 | Total steps: 16-22-31 | Min: 0.10 | Avg: 0.67 | Max: 1.54
Iteration = 266000 | Total steps: 16-17-26 | Min: 0.10 | Avg: 0.25 | Max: 0.98
Iteration = 267000 | Total steps: 16-20-28 | Min: 0.10 | Avg: 0.61 | Max: 1.71
Iteration = 268000 | Total steps: 20-26-36 | Min: 0.21 | Avg: 2.44 | Max: 15.30
Iteration = 269000 | Total steps: 15-23-34 | Min: 0.10 | Avg: 1.16 | Max: 2.79
Iteration = 270000 | Total steps: 3-16-28 | Min: 0.10 | Avg: 0.45 | Max: 1.28
