Iteration = 231000 | Total steps: 24-47-74 | Min: 0.36 | Avg: 3.46 | Max: 7.53
Iteration = 232000 | Total steps: 16-29-54 | Min: 0.10 | Avg: 3.08 | Max: 18.12
Iteration = 233000 | Total steps: 18-39-65 | Min: 0.16 | Avg: 3.19 | Max: 7.46
Iteration = 234000 | Total steps: 17-28-46 | Min: 0.85 | Avg: 2.37 | Max: 6.06
Iteration = 235000 | Total steps: 23-34-59 | Min: 0.40 | Avg: 2.57 | Max: 9.41
Iteration = 236000 | Total steps: 16-38-80 | Min: 0.10 | Avg: 4.26 | Max: 13.86
Iteration = 237000 | Total steps: 17-31-51 | Min: 0.15 | Avg: 3.48 | Max: 16.69
Iteration = 238000 | Total steps: 25-35-59 | Min: 0.80 | Avg: 2.23 | Max: 5.07
Iteration = 239000 | Total steps: 19-45-80 | Min: 0.29 | Avg: 3.60 | Max: 7.77
Iteration = 240000 | Total steps: 16-46-88 | Min: 0.10 | Avg: 3.44 | Max: 8.35
Iteration = 241000 | Total steps: 23-43-69 | Min: 0.94 | Avg: 3.55 | Max: 5.59
Iteration = 242000 | Total steps: 38-65-95 | Min: 1.72 | Avg: 8.29 | Max: 33.62 [CHECK POINT]
Iteration = 243000 | Total steps: 17-45-78 | Min: 0.15 | Avg: 3.38 | Max: 6.43
Iteration = 244000 | Total steps: 27-41-68 | Min: 0.70 | Avg: 3.87 | Max: 13.95
Iteration = 245000 | Total steps: 30-45-77 | Min: 1.69 | Avg: 3.84 | Max: 7.65
Iteration = 246000 | Total steps: 16-41-81 | Min: 0.10 | Avg: 3.32 | Max: 8.13
Iteration = 247000 | Total steps: 17-39-54 | Min: 0.84 | Avg: 4.36 | Max: 16.99
Iteration = 248000 | Total steps: 22-48-84 | Min: 0.69 | Avg: 3.60 | Max: 6.51
Iteration = 249000 | Total steps: 19-26-41 | Min: 0.74 | Avg: 3.23 | Max: 15.92
Iteration = 250000 | Total steps: 16-33-66 | Min: 0.10 | Avg: 3.25 | Max: 19.84
Iteration = 251000 | Total steps: 27-46-95 | Min: 1.65 | Avg: 4.41 | Max: 10.50
Iteration = 252000 | Total steps: 22-46-67 | Min: 1.71 | Avg: 3.88 | Max: 6.35
Iteration = 253000 | Total steps: 23-47-80 | Min: 1.27 | Avg: 5.48 | Max: 24.74
Iteration = 254000 | Total steps: 18-38-68 | Min: 0.80 | Avg: 3.72 | Max: 8.97
Iteration = 255000 | Total steps: 31-41-49 | Min: 1.82 | Avg: 2.86 | Max: 4.52
Iteration = 256000 | Total steps: 17-40-64 | Min: 0.15 | Avg: 4.68 | Max: 17.32
Iteration = 257000 | Total steps: 20-41-74 | Min: 0.67 | Avg: 2.94 | Max: 6.64
Iteration = 258000 | Total steps: 23-35-62 | Min: 0.27 | Avg: 3.91 | Max: 14.40
Iteration = 259000 | Total steps: 19-47-81 | Min: 0.50 | Avg: 3.68 | Max: 9.42
Iteration = 260000 | Total steps: 22-38-63 | Min: 1.05 | Avg: 3.10 | Max: 6.61
Iteration = 261000 | Total steps: 28-41-61 | Min: 0.42 | Avg: 3.43 | Max: 8.74
Iteration = 262000 | Total steps: 17-35-60 | Min: 0.15 | Avg: 2.85 | Max: 7.05
Iteration = 263000 | Total steps: 20-33-51 | Min: 0.75 | Avg: 3.65 | Max: 14.62
Iteration = 264000 | Total steps: 18-36-71 | Min: 0.14 | Avg: 2.55 | Max: 5.48
Iteration = 265000 | Total steps: 24-50-82 | Min: 0.34 | Avg: 4.71 | Max: 10.62
Iteration = 266000 | Total steps: 16-24-42 | Min: 0.10 | Avg: 2.72 | Max: 18.03
Iteration = 267000 | Total steps: 22-39-61 | Min: 0.42 | Avg: 3.62 | Max: 8.82
Iteration = 268000 | Total steps: 13-49-79 | Min: 1.59 | Avg: 5.20 | Max: 9.71
Iteration = 269000 | Total steps: 26-49-79 | Min: 0.73 | Avg: 3.53 | Max: 7.04
Iteration = 270000 | Total steps: 17-26-43 | Min: 0.21 | Avg: 1.42 | Max: 2.84
Iteration = 271000 | Total steps: 26-40-83 | Min: 1.79 | Avg: 4.39 | Max: 8.20
Iteration = 272000 | Total steps: 18-40-75 | Min: 0.14 | Avg: 3.76 | Max: 6.36
Iteration = 273000 | Total steps: 18-45-76 | Min: 0.36 | Avg: 4.50 | Max: 7.84
Iteration = 274000 | Total steps: 17-25-44 | Min: 0.15 | Avg: 1.34 | Max: 3.59
Iteration = 275000 | Total steps: 17-37-64 | Min: 0.15 | Avg: 2.81 | Max: 5.15
